a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,1564992,38.3463687150838,1601152.800005436,39.23240223477006,7294661817.6796875,178738.16077819484
10,35636868000,38.57780799764775,36357427870.66634,39.35783222259861,165094515728098.72,178718.97522597187
11,1209507670,38.348678943154525,1246256272.1807303,39.51383099765827,5608307152062.295,177817.11991047914
12,758063293,39.08026416052832,767946361.6582825,39.58976374644524,3449092099743.653,177810.2588750109
13,18883161609,38.58240040342915,19212038386.58635,39.2543670888267,86501260050895.53,176740.86150351717
14,1915181815,38.66661372299873,1947054964.4370403,39.31011751348217,8767753154536.289,177016.78336218867
15,211683864,38.778688524590166,215341290.9449768,39.44869812107362,968258931854.5664,177376.82419450075
16,111927078,38.40704500978474,115663683.5594809,39.68923677670279,515624106956.145,176933.04102868406
2,18945783,39.12898089171974,19195664.089339547,39.64506367225034,83446559297.75977,172343.30321643612
3,77539962,39.1909307875895,79033530.729771,39.945823454611485,349378376717.1953,176585.8974834676
4,284560074,38.55669259107655,292852718.83283156,39.680311070267926,1332797382585.8672,180588.43689559455
5,167689929,38.76019313304721,169018933.36044633,39.067381918878006,778537218642.2886,179952.68490954224
6,551937408,38.16209112149533,562909247.764595,38.92070675942455,2569894498264.5,177687.80770046913
7,934913728,38.70847534651216,958108210.1289101,39.66880250052955,4202070534914.875,173979.41524831005
8,115849433,37.98283534647171,118947179.2152299,38.99847419244028,545742877579.2998,178929.33373790627
9,71455079031,38.53891111226557,72858890250.60306,39.296049114830964,328831692958345.5,177353.5983400077
